date,age,confirmed,deceased
"2020-05-19",80,490,127
"2020-05-20",0,148,0
"2020-05-20",10,627,0
"2020-05-20",20,3100,0
"2020-05-20",30,1219,2
"2020-05-20",40,1468,3
"2020-05-20",50,1972,15
"2020-05-20",60,1369,38
"2020-05-20",70,717,78
"2020-05-20",80,490,127
"2020-05-21",0,148,0
"2020-05-21",10,631,0
"2020-05-21",20,3103,0
"2020-05-21",30,1221,2
"2020-05-21",40,1471,3
"2020-05-21",50,1972,15
"2020-05-21",60,1369,38
"2020-05-21",70,717,78
"2020-05-21",80,490,128
"2020-05-22",0,149,0
"2020-05-22",10,633,0
"2020-05-22",20,3111,0
"2020-05-22",30,1225,2
"2020-05-22",40,1473,3
"2020-05-22",50,1974,15
"2020-05-22",60,1369,38
"2020-05-22",70,718,78
"2020-05-22",80,490,128
"2020-05-23",0,149,0
"2020-05-23",10,634,0
"2020-05-23",20,3113,0
"2020-05-23",30,1231,2
"2020-05-23",40,1474,3
"2020-05-23",50,1983,15
"2020-05-23",60,1372,39
"2020-05-23",70,718,78
"2020-05-23",80,491,129
"2020-05-24",0,149,0
"2020-05-24",10,636,0
"2020-05-24",20,3117,0
"2020-05-24",30,1235,2
"2020-05-24",40,1481,3
"2020-05-24",50,1987,15
"2020-05-24",60,1375,39
"2020-05-24",70,719,78
"2020-05-24",80,491,129
"2020-05-25",0,149,0
"2020-05-25",10,637,0
"2020-05-25",20,3120,0
"2020-05-25",30,1238,2
"2020-05-25",40,1483,3
"2020-05-25",50,1992,15
"2020-05-25",60,1377,39
"2020-05-25",70,719,79
"2020-05-25",80,491,129
"2020-05-26",0,150,0
"2020-05-26",10,638,0
"2020-05-26",20,3123,0
"2020-05-26",30,1242,2
"2020-05-26",40,1486,3
"2020-05-26",50,1996,15
"2020-05-26",60,1378,39
"2020-05-26",70,721,79
"2020-05-26",80,491,131
"2020-05-27",0,153,0
"2020-05-27",10,640,0
"2020-05-27",20,3131,0
"2020-05-27",30,1248,2
"2020-05-27",40,1489,3
"2020-05-27",50,2002,15
"2020-05-27",60,1386,39
"2020-05-27",70,724,79
"2020-05-27",80,492,131
"2020-05-28",0,155,0
"2020-05-28",10,644,0
"2020-05-28",20,3146,0
"2020-05-28",30,1274,2
"2020-05-28",40,1503,3
"2020-05-28",50,2014,15
"2020-05-28",60,1392,39
"2020-05-28",70,724,79
"2020-05-28",80,492,131
"2020-05-29",0,156,0
"2020-05-29",10,650,0
"2020-05-29",20,3158,0
"2020-05-29",30,1283,2
"2020-05-29",40,1513,3
"2020-05-29",50,2023,15
"2020-05-29",60,1400,39
"2020-05-29",70,724,79
"2020-05-29",80,495,131
"2020-05-30",0,157,0
"2020-05-30",10,655,0
"2020-05-30",20,3167,0
"2020-05-30",30,1285,2
"2020-05-30",40,1517,3
"2020-05-30",50,2033,15
"2020-05-30",60,1404,39
"2020-05-30",70,725,79
"2020-05-30",80,498,131
"2020-05-31",0,157,0
"2020-05-31",10,655,0
"2020-05-31",20,3176,0
"2020-05-31",30,1292,2
"2020-05-31",40,1521,3
"2020-05-31",50,2039,15
"2020-05-31",60,1405,39
"2020-05-31",70,725,80
"2020-05-31",80,498,131
"2020-06-01",0,158,0
"2020-06-01",10,657,0
"2020-06-01",20,3178,0
"2020-06-01",30,1296,2
"2020-06-01",40,1527,3
"2020-06-01",50,2052,15
"2020-06-01",60,1410,39
"2020-06-01",70,727,80
"2020-06-01",80,498,132
"2020-06-02",0,158,0
"2020-06-02",10,659,0
"2020-06-02",20,3183,0
"2020-06-02",30,1299,2
"2020-06-02",40,1529,3
"2020-06-02",50,2061,15
"2020-06-02",60,1421,39
"2020-06-02",70,732,80
"2020-06-02",80,499,133
"2020-06-03",0,159,0
"2020-06-03",10,661,0
"2020-06-03",20,3188,0
"2020-06-03",30,1305,2
"2020-06-03",40,1534,3
"2020-06-03",50,2070,15
"2020-06-03",60,1436,39
"2020-06-03",70,738,81
"2020-06-03",80,499,133
"2020-06-04",0,160,0
"2020-06-04",10,661,0
"2020-06-04",20,3193,0
"2020-06-04",30,1308,2
"2020-06-04",40,1537,3
"2020-06-04",50,2079,15
"2020-06-04",60,1445,39
"2020-06-04",70,744,81
"2020-06-04",80,502,133
"2020-06-05",0,161,0
"2020-06-05",10,663,0
"2020-06-05",20,3198,0
"2020-06-05",30,1310,2
"2020-06-05",40,1540,3
"2020-06-05",50,2086,15
"2020-06-05",60,1455,39
"2020-06-05",70,751,81
"2020-06-05",80,504,133
"2020-06-06",0,164,0
"2020-06-06",10,664,0
"2020-06-06",20,3200,0
"2020-06-06",30,1316,2
"2020-06-06",40,1551,3
"2020-06-06",50,2094,15
"2020-06-06",60,1464,39
"2020-06-06",70,759,81
"2020-06-06",80,507,133
"2020-06-07",0,165,0
"2020-06-07",10,670,0
"2020-06-07",20,3203,0
"2020-06-07",30,1322,2
"2020-06-07",40,1559,3
"2020-06-07",50,2105,15
"2020-06-07",60,1476,39
"2020-06-07",70,767,81
"2020-06-07",80,509,133
"2020-06-08",0,166,0
"2020-06-08",10,672,0
"2020-06-08",20,3208,0
"2020-06-08",30,1324,2
"2020-06-08",40,1564,3
"2020-06-08",50,2111,15
"2020-06-08",60,1487,39
"2020-06-08",70,770,81
"2020-06-08",80,512,133
"2020-06-09",0,166,0
"2020-06-09",10,672,0
"2020-06-09",20,3211,0
"2020-06-09",30,1326,2
"2020-06-09",40,1568,3
"2020-06-09",50,2121,15
"2020-06-09",60,1496,39
"2020-06-09",70,775,81
"2020-06-09",80,517,134
"2020-06-10",0,167,0
"2020-06-10",10,674,0
"2020-06-10",20,3217,0
"2020-06-10",30,1335,2
"2020-06-10",40,1569,3
"2020-06-10",50,2128,15
"2020-06-10",60,1512,39
"2020-06-10",70,782,81
"2020-06-10",80,518,136
"2020-06-11",0,168,0
"2020-06-11",10,677,0
"2020-06-11",20,3223,0
"2020-06-11",30,1345,2
"2020-06-11",40,1574,3
"2020-06-11",50,2137,15
"2020-06-11",60,1517,39
